source,target,weights,sourceID,targetID,,
France,Lebanon,3.6,34,57,,1
Czechia,Brazil,0.8,26,15,,1
Sweden,Thailand,5,97,103,,1
United States,Egypt,12,110,29,,1
United States,Turkey,2.1,110,105,,1
United States,Turkey,14,110,105,,1
Russia,Egypt,11.25,84,29,,1
Russia,Pakistan,35.2,84,75,,1
Russia,India,30,84,42,,1
Russia,Egypt,30,84,29,,1
Russia,Egypt,15,84,29,,1
United Kingdom,Colombia,10.2,109,23,,1
Russia,Algeria,330,84,3,,1
France,Brazil,30,34,15,,1
Russia,Laos,20.592,84,55,,1
UAE,Algeria,6.5,106,3,,1
Qatar,Mali,2.88,82,63,,1
China,Laos,7,22,55,,1
Germany,Thailand,7.5,36,103,,1
Italy,Pakistan,31.68,48,75,,1
China,Pakistan,10,22,75,,1
United States,Pakistan,1.28,110,75,,1
China,Pakistan,10,22,75,,1
Canada,UAE,25,19,106,,1
United Kingdom,UAE,7.5,109,106,,1
Germany,UAE,5,36,106,,1
South Korea,Norway,113,93,73,,1
Switzerland,Australia,73.5,98,6,,1
Canada,Australia,9,19,6,,1
France,Spain,28,34,94,,1
Russia,Belarus,50,84,11,,1
Russia,Belarus,25,84,11,,1
France,Saudi Arabia,40,34,86,,1
France,Saudi Arabia,40,34,86,,1
Sweden,Thailand,7.5,97,103,,1
Switzerland,Romania,3.48,98,83,,1
United States,Romania,0.48,110,83,,1
Switzerland,Romania,4.5,98,83,,1
France,Kenya,1.68,34,53,,1
United States,Botswana,1.52,110,14,,1
France,Kazakhstan,13,34,52,,1
United States,Tunisia,29,110,104,,1
Russia,Viet Nam,120,84,115,,1
China,Thailand,45,22,103,,1
France,Brazil,21,34,15,,1
United States,Uzbekistan,1.92,110,114,,1
United States,Greece,3.6,110,37,,1
United States,Singapore,21,110,90,,1
France,Singapore,100,34,90,,1
Belgium,Indonesia,2.3,12,43,,1
China,Algeria,5.4,22,3,,1
United States,Thailand,7,110,103,,1
United States,Singapore,0.8,110,90,,1
United States,Japan,4,110,50,,1
United States,Canada,3.04,110,19,,1
United States,India,2.6,110,42,,1
United States,Israel,4,110,47,,1
United States,South Korea,8,110,93,,1
Canada,France,9,19,34,,1
United Kingdom,Pakistan,2,109,75,,1
Canada,Argentina,2.4,19,5,,1
United States,Portugal,2,110,81,,1
United States,Indonesia,2.52,110,43,,1
United States,Belgium,0.54,110,12,,1
United States,UAE,30,110,106,,1
United States,Saudi Arabia,52.9,110,86,,1
United States,Turkey,28.8,110,105,,1
France,Saudi Arabia,37.5,34,86,,1
Poland,Ukraine,6,80,108,,1
Poland,Unknown recipient(s),6,80,111,,1
Israel,Myanmar,10.5,47,67,,1
South Africa,India,22,92,42,,1
Russia,India,3,84,42,,1
France,India,40,34,42,,1
Germany,India,1.8,36,42,,1
United States,India,8.8,110,42,,1
United States,Israel,40,110,47,,1
China,Pakistan,20,22,75,,1
